DEPTH,AC,CAL,CNL,DEN,DEN_QYZ,DEN_QYZ_S,GR,GR_QYZ,GR_QYZ_S,ILD,ILM,LL8,RLLD,RLLD_QYZ,RLLD_QYZ_S,RLLS,RPL,SP,SP_S,LAYER,FACIES
1134.1,92.029,8.412,23.009,1.819,1.819,2.24,59.819,59.819,83.818,17.486,17.667,20.136,28.133,17.384,11.484,25.408,127.97,59.621,64.781,P18b,J
1134.15,92.09,8.41,22.886,1.827,1.827,2.249,61.258,61.258,84.79,16.201,16.314,18.88,26.256,17.384,11.484,24.095,118.967,60.469,65.699,P18b,J
1134.2,92.106,8.41,22.781,1.833,1.833,2.255,63.025,63.025,85.984,14.908,14.953,17.401,24.536,17.384,11.484,21.57,112.555,61.094,66.376,P18b,J
1134.25,92.093,8.417,22.806,1.839,1.839,2.262,64.792,64.792,87.177,13.622,13.598,15.642,22.817,17.384,11.484,19.82,85.613,61.719,67.053,P18b,J
1134.3,92.08,8.417,22.978,1.846,1.846,2.27,66.727,66.727,88.484,12.335,12.243,13.883,20.606,17.085,11.303,18.07,82.546,62.487,67.885,P19,J
1134.35,92.051,8.404,23.215,1.854,1.854,2.279,68.661,68.661,89.79,11.042,10.882,12.113,18.395,16.786,11.122,16.31,79.564,63.255,68.716,P19,J
1134.4,91.97,8.402,23.468,1.862,1.862,2.288,71.15,71.15,91.471,9.758,9.529,10.354,16.168,15.645,10.431,14.56,66.637,64.259,69.803,P19,J
1134.45,91.837,8.443,23.753,1.864,1.864,2.291,74.194,74.194,93.527,8.465,7.783,8.585,13.926,13.664,9.23,12.8,49.427,65.497,71.144,P19,J
1134.5,91.69,8.516,24.067,1.861,1.861,2.287,77.237,77.237,95.583,7.178,7.733,6.826,11.683,11.683,8.03,11.05,27.073,66.736,72.485,P19,J
1134.55,91.563,8.571,24.402,1.861,1.861,2.287,79.448,79.448,97.077,5.473,7.639,4.491,9.465,9.465,6.686,9.3,22.151,67.439,73.246,P19,J
1134.6,91.453,8.586,24.831,1.872,1.872,2.3,81.659,81.659,98.57,5.27,6.962,4.406,7.247,7.247,5.342,7.54,18.445,68.142,74.007,P19,J
1134.65,91.345,8.587,25.425,1.892,1.892,2.323,83.765,83.765,99.993,5.173,6.585,4.325,5.787,5.787,4.457,5.79,17.783,68.833,74.757,P19,J
